Country_Name,Country_Code,Year,GDP_per_Capita_USD,Population,Life_Expectancy_WB
Afghanistan,AFG,2015,565.569730408751,33831764.0,62.27
Afghanistan,AFG,2016,522.082215583898,34700612.0,62.646
Afghanistan,AFG,2017,525.469770891619,35688935.0,62.406
Afghanistan,AFG,2018,491.337221382603,36743039.0,62.443
Afghanistan,AFG,2019,496.6025042585,37856121.0,62.941
Africa Eastern and Southern,AFE,2015,1498.8752400759,607123269.0,61.713030523495
Africa Eastern and Southern,AFE,2016,1334.47050032928,623369401.0,62.1679813169199
Africa Eastern and Southern,AFE,2017,1528.10422421284,640058741.0,62.5912750961501
Africa Eastern and Southern,AFE,2018,1552.07372194919,657801085.0,63.3306913582336
Africa Eastern and Southern,AFE,2019,1507.08559963484,675950189.0,63.8572612837043
Africa Western and Central,AFW,2015,1860.72768628324,418127845.0,56.0383356484355
Africa Western and Central,AFW,2016,1630.03943895258,429454743.0,56.3924518507367
Africa Western and Central,AFW,2017,1574.23056437855,440882906.0,56.6264388112566
Africa Western and Central,AFW,2018,1720.14009242722,452195915.0,57.036976441386
Africa Western and Central,AFW,2019,2216.38505520833,463365429.0,57.1498467555118
Albania,ALB,2015,4199.53912925398,2731293.0,78.358
Albania,ALB,2016,4457.63412207495,2689469.0,78.643
Albania,ALB,2017,5006.36012951959,2648285.0,78.9
Albania,ALB,2018,5897.65452588774,2607733.0,79.238
Albania,ALB,2019,6069.43903131027,2567801.0,79.467
Algeria,DZA,2015,4685.05902729002,40019529.0,75.159
Algeria,DZA,2016,4424.98529027556,40850721.0,75.31
Algeria,DZA,2017,4554.66753957828,41689299.0,75.431
Algeria,DZA,2018,4577.21029180491,42505035.0,75.555
Algeria,DZA,2019,4468.45341883656,43294546.0,75.682
American Samoa,ASM,2015,12727.4102651386,52878.0,72.654
American Samoa,ASM,2016,12843.3342903627,52245.0,72.64
American Samoa,ASM,2017,11863.6839452565,51586.0,72.801
American Samoa,ASM,2018,12552.0546868861,50908.0,72.794
American Samoa,ASM,2019,12886.1359517218,50209.0,72.751
Andorra,AND,2015,38654.95287916,72174.0,84.532
Andorra,AND,2016,40129.8385811474,72181.0,84.489
Andorra,AND,2017,40672.9717424447,73763.0,84.359
Andorra,AND,2018,42819.7577456133,75162.0,84.242
Andorra,AND,2019,41257.816459345,76474.0,84.098
Angola,AGO,2015,3641.72893919944,28157798.0,61.042
Angola,AGO,2016,2051.81462126253,29183070.0,61.619
Angola,AGO,2017,2790.71886869768,30234839.0,62.122
Angola,AGO,2018,2860.0936483682,31297155.0,62.622
Angola,AGO,2019,2493.67884440177,32375632.0,63.051
Antigua and Barbuda,ATG,2015,16077.6340769406,89409.0,76.892
Antigua and Barbuda,ATG,2016,16556.8551801588,89969.0,76.968
Antigua and Barbuda,ATG,2017,16965.7288273816,90468.0,77.03
Antigua and Barbuda,ATG,2018,18273.4270684912,90926.0,77.132
Antigua and Barbuda,ATG,2019,18896.3721832248,91364.0,77.168
Arab World,ARB,2015,6290.55879501691,410190679.0,70.6580123695192
Arab World,ARB,2016,6042.19675439671,419808341.0,70.8964881164428
Arab World,ARB,2017,6096.72395041636,428315886.0,71.1128560080646
Arab World,ARB,2018,6699.18058175457,435998060.0,71.4312997859137
Arab World,ARB,2019,6674.34224402621,444281315.0,71.8398932674972
Argentina,ARG,2015,13679.6264980954,43477012.0,76.6
Argentina,ARG,2016,12699.9623137756,43900313.0,76.105
Argentina,ARG,2017,14532.5009308511,44288894.0,76.543
Argentina,ARG,2018,11752.7998922979,44654882.0,76.77
Argentina,ARG,2019,9955.97478680428,44973465.0,76.847
Armenia,ARM,2015,3512.39350276709,3004600.0,74.8707317073171
Armenia,ARM,2016,3524.42476874707,2992300.0,74.8682926829268
Armenia,ARM,2017,3869.05373867752,2979400.0,75.2170731707317
Armenia,ARM,2018,4196.00562301769,2969000.0,75.619512195122
Armenia,ARM,2019,4597.22887399548,2962500.0,76.2219512195122
Aruba,ABW,2015,27458.2201537506,107906.0,75.405
Aruba,ABW,2016,27441.5502144601,108727.0,75.54
Aruba,ABW,2017,28440.0416881491,108735.0,75.62
